epoch,lr,train_loss,val_loss,train_accuracy,val_accuracy,train_macro_f1,val_macro_f1,train_weighted_f1,val_weighted_f1,train_macro_precision,val_macro_precision,train_macro_recall,val_macro_recall
1,0.0005,2.3903034648895263,2.1855271987915037,0.13428571428571429,0.18133333333333335,0.09618000301653633,0.08047384000413606,0.0962032372059729,0.08053158523696236,0.10829486909361685,0.104533437145169,0.13438253053890678,0.18117166731191123
2,0.0005,2.1349053874697006,1.9897058890660604,0.18542857142857141,0.20466666666666666,0.1466856691267769,0.1157625161228178,0.14713257887803463,0.1163077183158265,0.16531255938827621,0.1513399371094479,0.18522912482491496,0.20473460707989374
3,0.0005,1.9767532889502388,1.835210061709086,0.21814285714285714,0.348,0.19291371204493837,0.2839733796906457,0.19374472553152286,0.2872280087962856,0.20582065776755973,0.2668500658973382,0.21737764167151333,0.3440646332647341
4,0.0005,1.8274952035631453,1.6719767665863037,0.2775714285714286,0.36,0.26462181416932484,0.30280109472702965,0.2657203973485409,0.30580273006436814,0.2679550175328641,0.29596046595511455,0.27660105013410435,0.35641042848380816
5,0.0005,1.6863842502321515,1.5116646769841513,0.338,0.4013333333333333,0.3170458236011217,0.33092990839683567,0.3189965016883421,0.3345298774980199,0.3187146447886436,0.35685728889003415,0.3357632074739197,0.39696627533505485
6,0.0005,1.541491642679487,1.4187383441925048,0.3842857142857143,0.392,0.3673761070638577,0.3357328689668287,0.36973744504796846,0.3395211300912506,0.3742700895608982,0.3861776978439145,0.3815972390312439,0.3880352115793697
7,0.0005,1.4347749703271049,1.2574260765711467,0.4035714285714286,0.486,0.3838837770795542,0.43713936661338376,0.3861628886110356,0.4395978344555656,0.3938395653622188,0.4485053491851599,0.40090429922052806,0.4833489598493778
8,0.0005,1.3246723793574742,1.169893053372701,0.4511428571428571,0.5033333333333333,0.4399152248854217,0.44359469591511075,0.44192546857256404,0.4452808189005752,0.44850704045710416,0.5293982454729232,0.44879785463558003,0.5008752789722006
9,0.0005,1.2109937543869018,1.0343139216105144,0.48857142857142855,0.5726666666666667,0.47845152701743016,0.5279507093314487,0.47967556709510506,0.5295642183548797,0.48068945989998446,0.6063906697650076,0.48714418483915045,0.5712440670474329
10,0.0005,1.084745078086853,0.9279739224116007,0.5395714285714286,0.5773333333333334,0.530799114627435,0.49101922118695257,0.5320371876381079,0.4931117828819365,0.5325825531839015,0.5297307322849997,0.5381387842252253,0.575290831221078
11,0.0005,1.0183648031779697,0.8559958106676737,0.5487142857142857,0.6026666666666667,0.5415409911055006,0.5254192104968098,0.5423983550095516,0.5261739866212108,0.5445931200565648,0.6263072126499104,0.5478703739289809,0.6021151623972852
12,0.0005,0.9218211368833269,0.7475779986381531,0.5937142857142857,0.7206666666666667,0.5890203926656531,0.6784263849244393,0.5897575158367269,0.6786663869702835,0.5925328094466401,0.7155086314623548,0.5929502023253745,0.720038906800229
13,0.0005,0.874567775794438,0.6851362903912862,0.609,0.7533333333333333,0.6024460802967847,0.7142449325610807,0.6031488042571079,0.714106547714651,0.6082149908604434,0.7226849394939211,0.6081179718457491,0.7536435260236892
14,0.0005,0.8229809560775757,0.7028502651850382,0.6347142857142857,0.7066666666666667,0.6317824764353334,0.6663507655352218,0.6320825825077788,0.6670759673062631,0.6347568491930051,0.7433221482567389,0.6342547558609324,0.7062541621225359
15,0.0005,0.7654589097159249,0.5911996548970541,0.6694285714285715,0.7953333333333333,0.6684792875673643,0.7494462341653273,0.6684804621436561,0.7487446675970388,0.6726033865267769,0.7560008761497193,0.6691343293440964,0.796017108697208
16,0.0005,0.7446065154756818,0.6436465655962627,0.6798571428571428,0.7173333333333334,0.6779500833927541,0.6446749665027135,0.6773749383741935,0.6447737924683966,0.68116396826245,0.6521751274781528,0.6802865201200324,0.7178984718311527
17,0.0005,0.7362670260156904,0.6853139050801595,0.6778571428571428,0.6313333333333333,0.6764928361930046,0.5891236336508389,0.6762410387975182,0.5902167147693081,0.677418877736311,0.6696877255869609,0.6780819482348988,0.6296176461635009
18,0.0005,0.7096758514813014,0.6140297654469808,0.6908571428571428,0.7406666666666667,0.6910149622968457,0.6956969408130481,0.6906542465963031,0.694989138972619,0.6918208597930496,0.7193946937603196,0.6910689841559418,0.7415984399111611
19,0.0005,0.6799821875435965,0.533176165262858,0.7154285714285714,0.7833333333333333,0.7149341839244524,0.7527175690235509,0.7144327599676441,0.7523490288792106,0.7146998379789958,0.7812434841033054,0.7158289649729497,0.784074596644104
20,0.0005,0.6329488276754107,0.49129961172739667,0.7418571428571429,0.8046666666666666,0.7408150555000078,0.7769044340832849,0.7402645413486075,0.7765218422512766,0.7413342143696195,0.7852492012668391,0.7422727317818305,0.8052586783290216
21,0.0005,0.6133092955180577,0.4961238770484924,0.745,0.798,0.7418269282856231,0.7638847339745086,0.7412098833305516,0.7620812282887305,0.7436703112123975,0.8101739677006564,0.7457739372324627,0.7994073729336564
22,0.0005,0.5514871684142522,0.39768365160624186,0.775,0.8326666666666667,0.7740536638099499,0.782265333002175,0.7731596437392365,0.7805766276351539,0.77554337900812,0.8829973063644593,0.7758864177177069,0.8346303736772486
23,0.0005,0.495618127311979,0.3727754872639974,0.7947142857142857,0.83,0.7955198358589189,0.7751545186521372,0.7946910678667446,0.7742237144932054,0.7960517430904342,0.7475203753268204,0.7954693254894624,0.8306451612903226
24,0.0005,0.48413906608309065,0.3664222059249878,0.7934285714285715,0.8253333333333334,0.790482247368211,0.8000779525475016,0.7896030370256745,0.7992589679658447,0.7926722850183805,0.7875068887078354,0.7942741867745293,0.8265095697831978
25,0.0005,0.4418877691881997,0.3426437310377757,0.8082857142857143,0.8333333333333334,0.8087024428980988,0.7904355062554916,0.8077979049241204,0.7886813375664384,0.8083198688381109,0.7986164051496781,0.8091972426188704,0.8352249322493225
26,0.0005,0.41742684643609185,0.32573839934666954,0.813,0.8333333333333334,0.8133675772571474,0.8195216959120231,0.8124109370854694,0.8187456464781651,0.8128385787771756,0.8350195951002403,0.8140004117648392,0.8343437641147244
27,0.0005,0.39488094459261214,0.31823853182792666,0.8155714285714286,0.83,0.8151932514750452,0.7875772098916854,0.8140726883698878,0.7867523150870919,0.816272078199005,0.7849060060674233,0.8166862967760783,0.8304932249322494
28,0.0005,0.3730240273135049,0.3159311487674713,0.8161428571428572,0.8326666666666667,0.8136364536239039,0.7777691536952626,0.8125011757617706,0.7768920374630144,0.8158518473043787,0.7499920624841249,0.8173113056156937,0.8333333333333334
29,0.0005,0.3591611886024475,0.3137847133477529,0.8274285714285714,0.8326666666666667,0.8274572809899654,0.7777832651333427,0.8264192703178644,0.7768920370631673,0.8280170223968172,0.7500079375158751,0.8284551507052683,0.8333333333333334
30,0.0005,0.34717130517959593,0.3127992824713389,0.8287142857142857,0.8393333333333334,0.8295610007154988,0.8084202545674115,0.8285302232164274,0.8066896822349412,0.8295844898174138,0.8012037175423002,0.8297343081903098,0.8410406504065041
31,0.0005,0.3436531286580222,0.3138241067727407,0.8294285714285714,0.8326666666666667,0.8291860065409989,0.7800471137466616,0.828098453412109,0.7800127508802034,0.8305941290364679,0.778105861767279,0.8305566991201734,0.8320216802168021
32,0.00025,0.33721566687311444,0.31310109233856204,0.8287142857142857,0.8293333333333334,0.8287005805495324,0.7794807221883383,0.827681118095265,0.7777821499072015,0.8292826215062136,0.776591416136347,0.8297409668939961,0.8313182043650794
33,0.00025,0.3337498213904245,0.31273618825276694,0.8274285714285714,0.838,0.827995916975307,0.8203442635603686,0.8268713447387055,0.8197677270352427,0.8283862644190653,0.8434575123816296,0.8285857639266659,0.8380505387791973
34,0.00025,0.3314424217087882,0.31229813226064046,0.831,0.8393333333333334,0.8318549437161539,0.8115440991237253,0.8308012493600239,0.8098941013218455,0.8319587282292678,0.8553349607350943,0.8320298768159766,0.8409604908697896
35,0.00025,0.3318200639316014,0.31171914545694984,0.8317142857142857,0.838,0.8300352895474226,0.8030664267506372,0.8289614020544328,0.8013136602189234,0.8326287492603038,0.8020467187081598,0.8328939078666581,0.8398048780487805
36,0.00025,0.3301956336838858,0.31120086963971455,0.8305714285714285,0.8286666666666667,0.8295033661199795,0.8146941762750237,0.8283436540789848,0.8142961579275468,0.8315058847193869,0.8282270385500133,0.8317281600613627,0.8290160242450639
37,0.00025,0.3277937389101301,0.31128042872746786,0.83,0.836,0.830159471781776,0.8362526501895745,0.8290614127947596,0.8354986588880915,0.8310637099501509,0.8369070309002726,0.8311485461012218,0.8368326638921152
38,0.00025,0.32646969648769925,0.3115401231447856,0.8371428571428572,0.8306666666666667,0.832777545775218,0.8091055665701724,0.8318638974948238,0.8078693138979642,0.8391110257147125,0.8342813626333806,0.837998075792641,0.8322999056329848
39,0.00025,0.3275886287348611,0.31142636664708456,0.829,0.8326666666666667,0.826401348539421,0.7935423397788989,0.8253398381512166,0.7926896192616623,0.8295277905192702,0.8152777777777778,0.8301090250802816,0.8332231558104272
40,0.00025,0.3270061021532331,0.3110359958012899,0.8272857142857143,0.8333333333333334,0.8279167087479551,0.8142082421772052,0.8268956856677605,0.8129364359765611,0.8280982687499553,0.8366604235454349,0.82830497169456,0.8349322856174991
41,0.00025,0.32571245792933873,0.31122033834457397,0.828,0.8366666666666667,0.825604482216877,0.8113529769952169,0.8244995055158053,0.8100157489613163,0.8287407785894315,0.843435546774483,0.8290733336261179,0.837752831010453
42,0.00025,0.3240809449808938,0.3108701739311218,0.8414285714285714,0.832,0.838940065960221,0.7774782869122491,0.837911115275322,0.7765941898772087,0.8432286558882117,0.7498286688767054,0.8425699561252035,0.8326822916666666
43,0.000125,0.3228244139807565,0.31080465475718183,0.834,0.834,0.8314592023085833,0.787802929128241,0.830495361534901,0.7876715455511882,0.8350144360604412,0.8732234659344633,0.8348074409400464,0.833414763195251
44,0.000125,0.32281065034866335,0.3105354181925456,0.837,0.8313333333333334,0.8372238126408117,0.8208202899637854,0.8361875988829619,0.820037721938576,0.838070799684314,0.8327109112940762,0.8379698943293034,0.8322477113982449
45,0.000125,0.3225405274799892,0.3104377245903015,0.8364285714285714,0.832,0.8362465076964015,0.8049606435913533,0.835099720757429,0.8033253415933984,0.837611786878862,0.817421035348667,0.8375980805055604,0.8336266413408181
46,0.000125,0.322477662563324,0.31039358719189963,0.8297142857142857,0.832,0.8271095991014255,0.7926236552357601,0.8259383213966929,0.7908882457060183,0.8305399391214615,0.7924074104901792,0.8310014572710349,0.8338265582655827
